miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7b	hg38:chr22:46113691-46113709:+	1	0.509861	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	53	27.022659	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	6035	3077.014068	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	7967	4062.066458	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	38377	19566.954246	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	12465	6355.423422	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	8	4.078892	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	1.529584	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	6	3.059169	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	79	40.279057	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	84	42.828365	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	1.019723	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	1.019723	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	1.019723	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.509861	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	2	1.019723	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	74	37.729750	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.509861	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.509861	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	3	1.529584	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	4	2.039446	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	8	4.078892	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.509861	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	22	11.216953	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	33	16.825429	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	63	32.121274	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	1.019723	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	17	8.667645	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	272	138.682324	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	973	496.095226	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	8530	4349.118475	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	655	333.959273	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	9	4.588753	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	18	9.177507	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	5	2.549307	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.509861	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	9	4.588753	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	125	63.732686	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.509861	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	2	1.019723	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.509861	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	6	3.059169	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	55	28.042382	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	388	197.826257	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	33	16.825429	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	1.019723	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	22	11.216953	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	5	2.549307	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	3	1.529584	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178864:+	2	1.019723	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	3	1.529584	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	66	33.650858	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	372	189.668473	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.509861	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	1	0.509861	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	5	2.549307	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692812:+	1	0.509861	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	18	9.177507	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	312	159.076784	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1363	694.941205	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	153	78.008807	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	20	10.197230	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	4	2.039446	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	3	1.529584	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.509861	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692859:+	3	1.529584	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	28	14.276122	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	1	0.509861	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	41	20.904321	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	451	229.947530	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	2205	1124.244576	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	80	40.788919	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	1	0.509861	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	1	0.509861	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	9	4.588753	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176376:+	1	0.509861	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176376:+	1	0.509861	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	3	1.529584	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	2	1.019723	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	4	2.039446	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	1	0.509861	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	121	61.693240	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	13	6.628199	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	2196	1119.655823	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	4	2.039446	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557270:-	2	1.019723	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	461	235.046145	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	2	1.019723	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557270:-	1	0.509861	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	46	23.453628	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	1	0.509861	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	1	0.509861	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268278-52268301:-	1	0.509861	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	2	1.019723	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	19	9.687368	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268357:-	1	0.509861	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268358:-	66	33.650858	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	2	1.019723	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	13	6.628199	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1067	544.022205	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	7	3.569030	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	128	65.262270	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	3	1.529584	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	6	3.059169	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	1	0.509861	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603691-62603711:+	3	1.529584	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	206	105.031466	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	166	84.637007	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	1144	583.281540	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	2	1.019723	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603692-62603713:+	2	1.019723	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603692-62603714:+	2	1.019723	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603713:+	1	0.509861	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	7	3.569030	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	28	14.276122	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	64	32.631135	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603771:+	1	0.509861	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603748-62603769:+	1	0.509861	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	8	4.078892	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829014-21829037:-	1	0.509861	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829015-21829037:-	3	1.529584	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829017-21829037:-	1	0.509861	N	mature,MIMAT0000416
hsa-mir-100	hg38:chr11:122152239-122152262:-	1	0.509861	N	mature,MIMAT0004512
hsa-mir-100	hg38:chr11:122152240-122152262:-	1	0.509861	N	mature,MIMAT0004512
hsa-mir-100	hg38:chr11:122152274-122152297:-	9	4.588753	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152295:-	5	2.549307	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	12	6.118338	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	785	400.241266	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	20	10.197230	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	3192	1627.477863	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152298:-	3	1.529584	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152295:-	1	0.509861	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	6	3.059169	N	mature,MIMAT0000098
hsa-mir-101-1	hg38:chr1:65058440-65058463:-	2	1.019723	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058463:-	389	198.336118	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058463:-	178	90.755344	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058464:-	144	73.420054	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058463:-	315	160.606368	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058464:-	755	384.945422	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058444-65058463:-	2	1.019723	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058444-65058464:-	11	5.608476	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058477-65058499:-	2	1.019723	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058478-65058500:-	15	7.647922	N	mature,MIMAT0004513
hsa-mir-101-2	hg38:chr9:4850344-4850364:+	12	6.118338	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850365:+	684	348.745256	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850366:+	139	70.870747	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850364:+	3	1.529584	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850365:+	292	148.879554	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850366:+	193	98.403267	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850367:+	394	200.885425	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850368:+	73	37.219888	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850346-4850367:+	1	0.509861	N	mature,MIMAT0000099
hsa-mir-103a-1	hg38:chr5:168560902-168560927:-	4	2.039446	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560903-168560926:-	1	0.509861	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560903-168560927:-	84	42.828365	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560920:-	1	0.509861	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560924:-	1	0.509861	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560925:-	84	42.828365	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560926:-	185	94.324375	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560927:-	23898	12184.669791	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560928:-	10	5.098615	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560925:-	1	0.509861	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560926:-	20	10.197230	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560927:-	1778	906.533722	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560928:-	3	1.529584	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560906-168560927:-	18	9.177507	Y	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560940-168560964:-	2	1.019723	N	unannotated
hsa-mir-103a-1	hg38:chr5:168560941-168560964:-	102	52.005872	N	unannotated
hsa-mir-103a-2	hg38:chr20:3917504-3917527:+	3	1.529584	N	mature,MIMAT0009196
hsa-mir-103a-2	hg38:chr20:3917504-3917528:+	1	0.509861	N	mature,MIMAT0009196
hsa-mir-103a-2	hg38:chr20:3917505-3917527:+	2	1.019723	N	mature,MIMAT0009196
hsa-mir-103a-2	hg38:chr20:3917540-3917564:+	5	2.549307	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917562:+	43	21.924044	Y	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917563:+	1817	926.418320	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917564:+	23958	12215.261480	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917565:+	66	33.650858	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917566:+	4	2.039446	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917542-3917563:+	22	11.216953	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917542-3917564:+	141	71.890470	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917543-3917563:+	1	0.509861	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917543-3917564:+	86	43.848088	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917543-3917565:+	6	3.059169	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917543-3917566:+	2	1.019723	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917544-3917565:+	1	0.509861	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917564-3917585:+	2	1.019723	N	precursor
hsa-mir-105-1	hg38:chrX:152392265-152392288:-	1	0.509861	N	mature,MIMAT0000102
hsa-mir-105-1	hg38:chrX:152392266-152392288:-	6	3.059169	N	mature,MIMAT0000102
hsa-mir-105-2	hg38:chrX:152394457-152394479:-	1	0.509861	N	mature,MIMAT0000102
hsa-mir-105-2	hg38:chrX:152394458-152394481:-	3	1.529584	N	mature,MIMAT0000102
hsa-mir-105-2	hg38:chrX:152394459-152394481:-	4	2.039446	N	mature,MIMAT0000102
hsa-mir-106a	hg38:chrX:134170243-134170266:-	1	0.509861	N	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170244-134170264:-	14	7.138061	Y	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170244-134170265:-	2	1.019723	Y	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170244-134170266:-	7	3.569030	Y	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170244-134170267:-	4	2.039446	N	mature,MIMAT0000103
hsa-mir-106b	hg38:chr7:100094002-100094024:-	4	2.039446	N	mature,MIMAT0004672
hsa-mir-106b	hg38:chr7:100094003-100094023:-	1	0.509861	N	mature,MIMAT0004672
hsa-mir-106b	hg38:chr7:100094003-100094024:-	75	38.239611	N	mature,MIMAT0004672
hsa-mir-106b	hg38:chr7:100094003-100094025:-	7	3.569030	N	mature,MIMAT0004672
hsa-mir-106b	hg38:chr7:100094003-100094026:-	2	1.019723	N	mature,MIMAT0004672
hsa-mir-106b	hg38:chr7:100094004-100094024:-	2	1.019723	N	mature,MIMAT0004672
hsa-mir-106b	hg38:chr7:100094004-100094025:-	1	0.509861	N	mature,MIMAT0004672
hsa-mir-106b	hg38:chr7:100094004-100094026:-	4	2.039446	N	mature,MIMAT0004672
hsa-mir-106b	hg38:chr7:100094005-100094026:-	2	1.019723	N	mature,MIMAT0004672
hsa-mir-106b	hg38:chr7:100094041-100094063:-	1	0.509861	N	mature,MIMAT0000680
hsa-mir-106b	hg38:chr7:100094041-100094064:-	3	1.529584	N	mature,MIMAT0000680
hsa-mir-106b	hg38:chr7:100094042-100094063:-	1	0.509861	N	mature,MIMAT0000680
hsa-mir-106b	hg38:chr7:100094042-100094064:-	80	40.788919	N	mature,MIMAT0000680
hsa-mir-106b	hg38:chr7:100094043-100094064:-	29	14.785983	N	mature,MIMAT0000680
hsa-mir-106b	hg38:chr7:100094044-100094064:-	2	1.019723	N	mature,MIMAT0000680
hsa-mir-107	hg38:chr10:89592756-89592779:-	35	17.845152	N	mature,MIMAT0000104
hsa-mir-107	hg38:chr10:89592757-89592779:-	3	1.529584	N	mature,MIMAT0000104
hsa-mir-107	hg38:chr10:89592758-89592779:-	61	31.101551	Y	mature,MIMAT0000104
hsa-mir-107	hg38:chr10:89592793-89592815:-	1	0.509861	N	unannotated
hsa-mir-10a	hg38:chr17:48579865-48579886:-	13	6.628199	N	mature,MIMAT0004555
hsa-mir-10a	hg38:chr17:48579866-48579888:-	1	0.509861	N	mature,MIMAT0004555
hsa-mir-10a	hg38:chr17:48579866-48579889:-	1	0.509861	N	mature,MIMAT0004555
hsa-mir-10a	hg38:chr17:48579901-48579926:-	1	0.509861	N	mature,MIMAT0000253
hsa-mir-10a	hg38:chr17:48579902-48579924:-	1	0.509861	N	mature,MIMAT0000253
hsa-mir-10a	hg38:chr17:48579902-48579925:-	1	0.509861	N	mature,MIMAT0000253
hsa-mir-10a	hg38:chr17:48579902-48579926:-	11	5.608476	N	mature,MIMAT0000253
hsa-mir-10a	hg38:chr17:48579902-48579927:-	2	1.019723	N	mature,MIMAT0000253
hsa-mir-10a	hg38:chr17:48579903-48579923:-	4	2.039446	N	mature,MIMAT0000253
hsa-mir-10a	hg38:chr17:48579903-48579924:-	5	2.549307	N	mature,MIMAT0000253
hsa-mir-10a	hg38:chr17:48579903-48579925:-	52	26.512797	N	mature,MIMAT0000253
hsa-mir-10a	hg38:chr17:48579903-48579926:-	2146	1094.162749	N	mature,MIMAT0000253
